invoice_number,duplicate_flag,duplicate_reason
AMD2-1171,TRUE,invoice_number_present_in_prior_postings
AMD2-3862,TRUE,invoice_number_present_in_prior_postings
BLR7-10525,TRUE,invoice_number_present_in_prior_postings
BLR7-8177,TRUE,invoice_number_present_in_prior_postings
BLR8-14563,TRUE,invoice_number_present_in_prior_postings
BLR8-390,TRUE,invoice_number_present_in_prior_postings
BLR8-391,TRUE,invoice_number_present_in_prior_postings
BLR8-6425,TRUE,invoice_number_present_in_prior_postings
BOM5-13884,TRUE,invoice_number_present_in_prior_postings
BOM5-5782,TRUE,invoice_number_present_in_prior_postings
BOM7-8226,TRUE,invoice_number_present_in_prior_postings
CCX1-1638,TRUE,invoice_number_present_in_prior_postings
CJB1-10077,TRUE,invoice_number_present_in_prior_postings
CJB1-2466,TRUE,invoice_number_present_in_prior_postings
CJB1-3280,TRUE,invoice_number_present_in_prior_postings
CJB1-8340,TRUE,invoice_number_present_in_prior_postings
DED4-3178,TRUE,invoice_number_present_in_prior_postings
DED4-3179,TRUE,invoice_number_present_in_prior_postings
GAX1-506,TRUE,invoice_number_present_in_prior_postings
GAX1-507,TRUE,invoice_number_present_in_prior_postings
HYD8-1937,TRUE,invoice_number_present_in_prior_postings
HYD8-441,TRUE,invoice_number_present_in_prior_postings
HYD8-442,TRUE,invoice_number_present_in_prior_postings
LKO1-1270,TRUE,invoice_number_present_in_prior_postings
MAA4-7121,TRUE,invoice_number_present_in_prior_postings
MAA4-7123,TRUE,invoice_number_present_in_prior_postings
MAA4-8550,TRUE,invoice_number_present_in_prior_postings
TWCX-1454,TRUE,invoice_number_present_in_prior_postings
TWCX-5755,TRUE,invoice_number_present_in_prior_postings
H1253,FALSE,
H0468,FALSE,
ARKB2B-04,TRUE,invoice_number_present_in_prior_postings
ARKB2B-09,TRUE,invoice_number_present_in_prior_postings
FM/0017/25-26,FALSE,
FM/0125/25-26,FALSE,
FM/0244/25-26,FALSE,
FM/0361/25-26,FALSE,
FM/0479/25-26,FALSE,
FM/0606/25-26,FALSE,
17991,TRUE,invoice_number_present_in_prior_postings
20188,TRUE,invoice_number_present_in_prior_postings
21770,TRUE,invoice_number_present_in_prior_postings
24021,TRUE,invoice_number_present_in_prior_postings
25802,TRUE,invoice_number_present_in_prior_postings
ACT/25-26/05/653,FALSE,
IN-719,TRUE,invoice_number_present_in_prior_postings
31,TRUE,invoice_number_present_in_prior_postings
46,TRUE,invoice_number_present_in_prior_postings
IN-1717,TRUE,invoice_number_present_in_prior_postings
XHRC-122091,TRUE,invoice_number_present_in_prior_postings
XHRC-153772,TRUE,invoice_number_present_in_prior_postings
AC/2025-2026/316,TRUE,invoice_number_present_in_prior_postings
AC/2025-2026/383,TRUE,invoice_number_present_in_prior_postings
AC/2025-2026/444,TRUE,invoice_number_present_in_prior_postings
AC/2025-2026/516,TRUE,invoice_number_present_in_prior_postings
LIN/28/25-26,FALSE,
CJB1-2115,TRUE,invoice_number_present_in_prior_postings
AC/197,TRUE,invoice_number_present_in_prior_postings
AC/216,TRUE,invoice_number_present_in_prior_postings
AC/222,TRUE,invoice_number_present_in_prior_postings
3212500001380880,FALSE,
3212500002379690,FALSE,
3212500002803520,FALSE,
3212500003145990,FALSE,
3212500003445710,TRUE,invoice_number_present_in_prior_postings
3212500003746450,FALSE,
HYD8-8218,TRUE,invoice_number_present_in_prior_postings
HYD8-2174,FALSE,
