Date,Vendor,GSTIN,Taxable,CGST,SGST,IGST,HSN/SAC,Invoice No,Invoice Value,GST Rate,Purchase ledger,Name as per Tally,source_file,source_sheet,source_row
2025-04-30,ABAD PROPERTY MANAGEMENT SERVICES PVT LTD,32AAHCA1323N1ZX,1872.00,168.48,168.48,0.00,,FM/0017/25-26,2209.00,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,6
2025-05-31,ABAD PROPERTY MANAGEMENT SERVICES PVT LTD,32AAHCA1323N1ZX,1872.00,168.48,168.48,0.00,,FM/0125/25-26,2209.00,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,7
2025-06-30,ABAD PROPERTY MANAGEMENT SERVICES PVT LTD,32AAHCA1323N1ZX,1872.00,168.48,168.48,0.00,,FM/0244/25-26,2209.00,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,8
2025-07-31,ABAD PROPERTY MANAGEMENT SERVICES PVT LTD,32AAHCA1323N1ZX,1809.60,162.86,162.86,0.00,,FM/0361/25-26,2135.00,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,9
2025-08-31,ABAD PROPERTY MANAGEMENT SERVICES PVT LTD,32AAHCA1323N1ZX,1872.00,168.48,168.48,0.00,,FM/0479/25-26,2209.00,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,10
2025-09-30,ABAD PROPERTY MANAGEMENT SERVICES PVT LTD,32AAHCA1323N1ZX,1872.00,168.48,168.48,0.00,,FM/0606/25-26,2209.00,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,11
2025-09-10,Actartly Technology Private Limited,29AAACA9394N1ZG,57724.36,0.00,0.00,10390.38,,17991,68114.74,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,12
2025-08-11,Actartly Technology Private Limited,29AAQCA8394N1ZG,60057.50,0.00,0.00,10810.35,,20188,70867.85,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,13
2025-05-12,Actartly Technology Private Limited,29AAQCA8394N1ZG,36192.28,0.00,0.00,6514.61,,21770,42706.89,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,14
2026-06-02,Actartly Technology Private Limited,29AAQCA8394N1ZG,87488.11,0.00,0.00,15747.86,,25802,103235.97,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,16
2025-05-31,Advantage Club Technologies Private Limited,06AAVCA3637K1Z7,180000.00,0.00,0.00,32400.00,,ACT/25-26/05/653,212400.00,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,17
2025-11-20,Amyka Healthcare Private Limited (Anvka),07AAVCA1150A1ZH,275000.00,0.00,0.00,13750.00,,LIN/28/25-26,288750.00,0.05,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,28
2025-07-01,Asianet Satellite Communications Limited,32AAECA5548E1Z0,19999.59,1799.96,1799.96,0.00,,3212500001380880,23599.51,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,33
2025-10-01,Asianet Satellite Communications Limited,32AAECA5548E1Z0,19999.59,1799.96,1799.96,0.00,,3212500002379690,23599.51,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,34
2025-11-01,Asianet Satellite Communications Limited,32AAECA5548E1Z0,19999.59,1799.96,1799.96,0.00,,3212500002803520,23599.51,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,35
2025-12-01,Asianet Satellite Communications Limited,32AAECA5548E1Z0,19999.59,1799.96,1799.96,0.00,,3212500003145990,23599.51,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,36
2026-02-01,Asianet Satellite Communications Limited,32AAECA5548E1Z0,19999.59,1799.96,1799.96,0.00,,3212500003746450,23599.51,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,38
2025-06-12,AVA International Private Limited,36AATCA0039M1ZC,165.25,0.00,0.00,29.75,,HYD8-2174,195.00,0.18,,,Invoice_Register_A_to_AVA.xlsx,Sheet1,40
